date,commodity,market,min_price,max_price,modal_price,arrivals
2026-08-20,Tomato,Pune,1800,2300,2100,980
2026-08-21,Tomato,Pune,1850,2350,2150,950
2026-08-22,Tomato,Pune,1900,2400,2200,920
2026-08-23,Tomato,Pune,1950,2450,2250,900
2026-08-24,Tomato,Pune,2000,2500,2300,870
2026-08-25,Tomato,Pune,2050,2550,2350,850
2026-08-26,Tomato,Pune,2100,2600,2400,820
2026-08-27,Tomato,Pune,2150,2650,2450,790
2026-08-28,Tomato,Pune,2100,2600,2400,810
2026-08-29,Tomato,Pune,2200,2700,2500,780
2026-08-30,Tomato,Pune,2250,2750,2550,760
2026-08-31,Tomato,Pune,2200,2700,2500,800
2026-09-01,Tomato,Pune,2250,2750,2550,770
2026-09-02,Tomato,Pune,2300,2800,2600,750
2026-09-03,Tomato,Pune,2250,2750,2550,780
2026-09-04,Tomato,Pune,2300,2800,2650,740
2026-09-05,Tomato,Pune,2350,2850,2700,720
2026-09-06,Tomato,Pune,2400,2900,2750,700
2026-08-20,Onion,Pune,1200,1700,1450,1200
2026-08-21,Onion,Pune,1250,1750,1500,1180
2026-08-22,Onion,Pune,1300,1800,1550,1150
2026-08-23,Onion,Pune,1280,1780,1530,1170
2026-08-24,Onion,Pune,1350,1850,1600,1100
2026-08-25,Onion,Pune,1400,1900,1650,1080
2026-08-26,Onion,Pune,1450,1950,1700,1050
2026-08-27,Onion,Pune,1500,2000,1750,1020
2026-08-28,Onion,Pune,1480,1980,1730,1040
2026-08-29,Onion,Pune,1550,2050,1800,990
2026-08-30,Onion,Pune,1600,2100,1850,970
2026-08-31,Onion,Pune,1580,2080,1830,980
2026-09-01,Onion,Pune,1650,2150,1900,940
2026-09-02,Onion,Pune,1700,2200,1950,920
2026-09-03,Onion,Pune,1680,2180,1930,930
2026-09-04,Onion,Pune,1750,2250,2000,900
2026-09-05,Onion,Pune,1800,2300,2050,870
2026-09-06,Onion,Pune,1850,2350,2100,850
